Number of days:,Number of animals,Number of grass,Average energy of living animals,Average age of dead animals,Average children no. of living animals
0,21.0,2.0,44.523809523809526,0.0,0.09523809523809523
1,23.0,3.0,41.82608695652174,0.0,0.2608695652173913
2,24.0,5.0,38.583333333333336,0.0,0.3333333333333333
3,26.0,7.0,33.80769230769231,0.0,0.46153846153846156
4,26.0,9.0,30.807692307692307,0.0,0.46153846153846156
5,26.0,11.0,27.807692307692307,0.0,0.46153846153846156
6,26.0,12.0,28.73076923076923,0.0,0.46153846153846156
7,25.0,14.0,26.92,6.0,0.48
8,24.0,16.0,25.041666666666668,6.333333492279053,0.5833333333333334
9,23.0,18.0,23.304347826086957,6.75,0.6086956521739131
10,20.0,20.0,23.8,8.142857551574707,0.35
11,20.0,20.0,30.8,8.142857551574707,0.35
12,19.0,21.0,34.73684210526316,7.625,0.3684210526315789
13,18.0,23.0,33.666666666666664,8.222222328186035,0.3333333333333333
14,18.0,25.0,30.77777777777778,8.222222328186035,0.3333333333333333
15,17.0,27.0,29.58823529411765,8.899999618530273,0.29411764705882354
16,17.0,29.0,27.235294117647058,8.899999618530273,0.29411764705882354
17,6.0,31.0,74.16666666666667,13.142857551574707,0.8333333333333334
18,6.0,33.0,71.16666666666667,13.142857551574707,0.8333333333333334
19,7.0,35.0,58.857142857142854,13.142857551574707,1.0
20,7.0,37.0,55.857142857142854,13.142857551574707,1.0
21,7.0,38.0,67.14285714285714,13.142857551574707,1.0
22,7.0,40.0,64.14285714285714,13.142857551574707,1.0
23,7.0,42.0,61.285714285714285,13.142857551574707,1.0
24,6.0,44.0,68.5,12.772727012634277,1.1666666666666667
25,6.0,46.0,65.5,12.772727012634277,1.1666666666666667
26,6.0,48.0,62.833333333333336,12.772727012634277,1.1666666666666667
27,5.0,50.0,72.4,13.391304016113281,0.2
28,5.0,52.0,69.4,13.391304016113281,0.2
29,5.0,54.0,66.4,13.391304016113281,0.2
30,5.0,56.0,63.4,13.391304016113281,0.2
31,5.0,58.0,60.4,13.391304016113281,0.2
32,5.0,59.0,77.4,13.391304016113281,0.2
33,6.0,61.0,61.166666666666664,13.391304016113281,0.5
34,7.0,63.0,49.142857142857146,13.391304016113281,0.7142857142857143
35,7.0,65.0,46.142857142857146,13.391304016113281,0.7142857142857143
36,7.0,66.0,57.42857142857143,13.391304016113281,0.7142857142857143
37,7.0,68.0,54.42857142857143,13.391304016113281,0.7142857142857143
Average,13.210526315789474,34.421052631578945,48.924205557464255,9.338447909606131,0.5593356937546139
